source_3 FGE@09:34:00
FGE@09:34:00 FMST@09:51:00
FMST@09:51:00 FF@09:53:00
FF@09:53:00 FF@09:58:00
FF@09:58:00 FMST@10:00:00
FMST@10:00:00 FFS@10:02:00
FFS@10:02:00 FO@10:05:00
FO@10:05:00 FHN@10:11:00
FHN@10:11:00 FWFG@10:13:00
FWFG@10:13:00 FHME@10:18:00
FHME@10:18:00 FHME@10:19:00
FHME@10:19:00 FWFG@10:25:00
FWFG@10:25:00 FHN@10:27:00
FHN@10:27:00 FHN@10:29:00
FHN@10:29:00 FWFG@10:31:00
FWFG@10:31:00 FHME@10:38:00
FHME@10:38:00 FSA@10:50:00
FSA@10:50:00 FFD@10:59:00
FFD@10:59:00 FFU@11:09:00
FFU@11:09:00 FFU@11:11:00
FFU@11:11:00 FKHM@11:25:00
FKHM@11:25:00 FKW@11:41:00
FKW@11:41:00 FKW@11:43:00
FKW@11:43:00 HJD@11:57:00
HJD@11:57:00 HG@12:01:00
HG@12:01:00 HG@12:02:00
HG@12:02:00 HG@12:03:00
HG@12:03:00 HORX@12:15:00
HORX@12:15:00 HAL@12:21:00
HAL@12:21:00 HSOR@12:25:00
HSOR@12:25:00 HHI@12:32:00
HHI@12:32:00 HHI@12:34:00
HHI@12:34:00 HGGL@12:52:00
HGGL@12:52:00 HBS@12:57:00
HBS@12:57:00 HBS@12:58:00
HBS@12:58:00 HGGL@13:03:00
HGGL@13:03:00 HHI@13:23:00
HHI@13:23:00 HHI@13:25:00
HHI@13:25:00 HSOR@13:32:00
HSOR@13:32:00 HAL@13:37:00
HAL@13:37:00 HORX@13:42:00
HORX@13:42:00 HG@13:53:00
HG@13:53:00 HG@13:54:00
HG@13:54:00 HG@13:55:00
HG@13:55:00 HJD@14:02:00
HJD@14:02:00 FKW@14:14:00
FKW@14:14:00 FKW@14:16:00
FKW@14:16:00 FKHM@14:33:00
FKHM@14:33:00 FFU@14:45:00
FFU@14:45:00 FFU@14:47:00
FFU@14:47:00 FFD@14:57:00
FFD@14:57:00 FSA@15:06:00
FSA@15:06:00 FHME@15:19:00
FHME@15:19:00 FWFG@15:25:00
FWFG@15:25:00 FHN@15:27:00
FHN@15:27:00 FHN@15:29:00
FHN@15:29:00 FWFG@15:31:00
FWFG@15:31:00 FHME@15:38:00
FHME@15:38:00 FWFG@15:43:00
FWFG@15:43:00 FHN@15:45:00
