Inspector 0 Path:
------------------------------------------------------------------
['source_0', 'RDRM@Mon11:51:00']
['RDRM@Mon11:51:00', 'RK@Mon11:58:00']
['RK@Mon11:58:00', 'RK@Mon12:00:00']
['RK@Mon12:00:00', 'RGN@Mon12:08:00']
['RGN@Mon12:08:00', 'RSAB@Mon12:11:00']
['RSAB@Mon12:11:00', 'RP@Mon12:19:00']
['RP@Mon12:19:00', 'RM@Mon12:23:00']
['RM@Mon12:23:00', 'RM@Mon12:27:00']
['RM@Mon12:27:00', 'RM@Mon12:30:00']
['RM@Mon12:30:00', 'RM@Mon12:32:00']
['RM@Mon12:32:00', 'FLP@Mon12:40:00']
['FLP@Mon12:40:00', 'FGE@Mon12:50:00']
['FGE@Mon12:50:00', 'FMST@Mon13:06:00']
['FMST@Mon13:06:00', 'FF@Mon13:08:00']
['FF@Mon13:08:00', 'FF@Mon13:13:00']
['FF@Mon13:13:00', 'FMST@Mon13:15:00']
['FMST@Mon13:15:00', 'FFS@Mon13:17:00']
['FFS@Mon13:17:00', 'FO@Mon13:20:00']
['FO@Mon13:20:00', 'FHN@Mon13:27:00']
['FHN@Mon13:27:00', 'FHN@Mon13:29:00']
['FHN@Mon13:29:00', 'FWFG@Mon13:31:00']
['FWFG@Mon13:31:00', 'FHME@Mon13:38:00']
['FHME@Mon13:38:00', 'FSA@Mon13:50:00']
['FSA@Mon13:50:00', 'FFD@Mon13:59:00']
['FFD@Mon13:59:00', 'FFU@Mon14:09:00']
['FFU@Mon14:09:00', 'FFU@Mon14:11:00']
['FFU@Mon14:11:00', 'FKHM@Mon14:25:00']
['FKHM@Mon14:25:00', 'FKW@Mon14:41:00']
['FKW@Mon14:41:00', 'FKW@Mon14:43:00']
['FKW@Mon14:43:00', 'HJD@Mon14:57:00']
['HJD@Mon14:57:00', 'HG@Mon15:01:00']
['HG@Mon15:01:00', 'HG@Mon15:03:00']
['HG@Mon15:03:00', 'HORX@Mon15:15:00']
['HORX@Mon15:15:00', 'HAL@Mon15:21:00']
['HAL@Mon15:21:00', 'HSOR@Mon15:25:00']
['HSOR@Mon15:25:00', 'HHI@Mon15:32:00']
['HHI@Mon15:32:00', 'HHI@Mon15:34:00']
['HHI@Mon15:34:00', 'HGGL@Mon15:52:00']
['HGGL@Mon15:52:00', 'HBS@Mon15:57:00']
['HBS@Mon15:57:00', 'HBS@Mon15:58:00']
['HBS@Mon15:58:00', 'HGGL@Mon16:03:00']
['HGGL@Mon16:03:00', 'HHI@Mon16:23:00']
['HHI@Mon16:23:00', 'HHI@Mon16:25:00']
['HHI@Mon16:25:00', 'HSOR@Mon16:32:00']
['HSOR@Mon16:32:00', 'HAL@Mon16:37:00']
['HAL@Mon16:37:00', 'HORX@Mon16:42:00']
['HORX@Mon16:42:00', 'HG@Mon16:53:00']
['HG@Mon16:53:00', 'HG@Mon16:55:00']
['HG@Mon16:55:00', 'HJD@Mon17:02:00']
['HJD@Mon17:02:00', 'FKW@Mon17:14:00']
['FKW@Mon17:14:00', 'FKW@Mon17:16:00']
['FKW@Mon17:16:00', 'FKHM@Mon17:33:00']
['FKHM@Mon17:33:00', 'FFU@Mon17:45:00']
['FFU@Mon17:45:00', 'FFU@Mon17:47:00']
['FFU@Mon17:47:00', 'FFD@Mon17:57:00']
['FFD@Mon17:57:00', 'FSA@Mon18:06:00']
['FSA@Mon18:06:00', 'FHME@Mon18:19:00']
['FHME@Mon18:19:00', 'FWFG@Mon18:25:00']
['FWFG@Mon18:25:00', 'FHN@Mon18:27:00']
['FHN@Mon18:27:00', 'FHN@Mon18:29:00']
['FHN@Mon18:29:00', 'FO@Mon18:37:00']
['FO@Mon18:37:00', 'FFS@Mon18:40:00']
['FFS@Mon18:40:00', 'FMST@Mon18:42:00']
['FMST@Mon18:42:00', 'FF@Mon18:44:00']
['FF@Mon18:44:00', 'FF@Mon18:50:00']
['FF@Mon18:50:00', 'FMST@Mon18:52:00']
['FMST@Mon18:52:00', 'FGE@Mon19:08:00']
['FGE@Mon19:08:00', 'FLP@Mon19:19:00']
['FLP@Mon19:19:00', 'RM@Mon19:27:00']
['RM@Mon19:27:00', 'RM@Mon19:29:00']
['RM@Mon19:29:00', 'RM@Mon19:32:00']
['RM@Mon19:32:00', 'RM@Mon19:36:00']
['RM@Mon19:36:00', 'RP@Mon19:40:00']
['RP@Mon19:40:00', 'RSAB@Mon19:48:00']
['RSAB@Mon19:48:00', 'RGN@Mon19:50:00']
