Inspector_ID,Depot,Max_Hours
0,XSB,7
1,XSB,7
2,XSB,5
3,RB,5
4,RB,7
5,RB,5
6,RB,3
7,RK,4
10,RK,6
11,RK,3
12,RK,4
13,RK,7
14,RM,7
15,RM,6
16,RM,3
17,RM,5
22,FF,4
23,FF,4
24,FF,4
25,FFU,6
26,FFU,5
27,FFU,7
28,FFU,6
32,FKW,3
33,HH,3
42,AH,3
43,AH,5
44,AH,7
45,AH,6
50,AA,5
51,AA,5
52,AA,4
53,AA,3
54,AA,5
55,AK,7
56,AK,3
57,AK,4
58,BL,6
59,BL,7
60,BL,6
61,BLS,7
62,BLS,3
63,BLS,7
64,BHF,6
65,BHF,5
66,BHF,6
67,HB,3
68,HB,7
69,HB,6
70,HB,6
71,HB,5
72,EDO,3
73,EDO,5
74,EDO,7
75,EDO,3
76,EDO,4
81,KK,6
82,FMZ,6
83,FMZ,6
84,FMZ,7
85,FMZ,4
86,FMZ,7
87,FMZ,6
88,TS,7
89,NN,4
90,MH,5
91,MH,3
92,MH,3
93,MH,3
94,MH,4
95,MH,6
96,LL,4
97,LL,5
98,LL,6
99,LL,7
100,LL,6
101,LL,6
102,LL,5
103,FW,7
104,FW,7
105,FW,3
106,FW,4
107,FW,4
108,FW,3
109,HOLD,6
110,HOLD,3
111,HOLD,7
112,HOLD,3
113,MDT,5
114,MDT,3
115,MDT,3
116,MDT,3
117,MDT,3
118,MDT,7
119,MDT,4
120,MDT,3
121,MDT,4
