,start_station_and_time,end_station_and_time,inspector_id
0,source_1,RDRM@Mon08:43:00,1
1,RDRM@Mon08:43:00,RK@Mon08:49:00,1
2,RK@Mon08:49:00,RK@Mon08:51:00,1
3,RK@Mon08:51:00,RGN@Mon09:00:00,1
4,RGN@Mon09:00:00,RSAB@Mon09:02:00,1
5,RSAB@Mon09:02:00,RSAB@Mon09:17:00,1
6,RSAB@Mon09:17:00,RP@Mon09:24:00,1
7,RP@Mon09:24:00,RM@Mon09:29:00,1
8,RM@Mon09:29:00,RM@Mon09:32:00,1
9,RM@Mon09:32:00,FLP@Mon09:40:00,1
10,FLP@Mon09:40:00,FGE@Mon09:50:00,1
11,FGE@Mon09:50:00,FMST@Mon10:06:00,1
12,FMST@Mon10:06:00,FF@Mon10:08:00,1
13,FF@Mon10:08:00,FF@Mon10:13:00,1
14,FF@Mon10:13:00,FMST@Mon10:15:00,1
15,FMST@Mon10:15:00,FFS@Mon10:17:00,1
16,FFS@Mon10:17:00,FO@Mon10:20:00,1
17,FO@Mon10:20:00,FHN@Mon10:27:00,1
18,FHN@Mon10:27:00,FHN@Mon10:29:00,1
19,FHN@Mon10:29:00,FWFG@Mon10:31:00,1
20,FWFG@Mon10:31:00,FHME@Mon10:38:00,1
21,FHME@Mon10:38:00,FSA@Mon10:50:00,1
22,FSA@Mon10:50:00,FFD@Mon10:59:00,1
23,FFD@Mon10:59:00,FFU@Mon11:09:00,1
24,FFU@Mon11:09:00,FFU@Mon11:11:00,1
25,FFU@Mon11:11:00,FKHM@Mon11:25:00,1
26,FKHM@Mon11:25:00,FKW@Mon11:41:00,1
27,FKW@Mon11:41:00,FKW@Mon11:43:00,1
28,FKW@Mon11:43:00,HJD@Mon11:57:00,1
29,HJD@Mon11:57:00,HJD@Mon12:02:00,1
30,HJD@Mon12:02:00,FKW@Mon12:14:00,1
31,FKW@Mon12:14:00,FKW@Mon12:16:00,1
32,FKW@Mon12:16:00,FKHM@Mon12:33:00,1
33,FKHM@Mon12:33:00,FFU@Mon12:45:00,1
34,FFU@Mon12:45:00,FFU@Mon12:47:00,1
35,FFU@Mon12:47:00,FFD@Mon12:57:00,1
36,FFD@Mon12:57:00,FSA@Mon13:06:00,1
37,FSA@Mon13:06:00,FHME@Mon13:19:00,1
38,FHME@Mon13:19:00,FWFG@Mon13:25:00,1
39,FWFG@Mon13:25:00,FHN@Mon13:27:00,1
40,FHN@Mon13:27:00,FHN@Mon13:29:00,1
41,FHN@Mon13:29:00,FWFG@Mon13:31:00,1
42,FWFG@Mon13:31:00,FHME@Mon13:38:00,1
43,FHME@Mon13:38:00,FWFG@Mon13:43:00,1
44,FWFG@Mon13:43:00,FHN@Mon13:45:00,1
45,FHN@Mon13:45:00,FO@Mon13:52:00,1
46,FO@Mon13:52:00,FFS@Mon13:55:00,1
47,FFS@Mon13:55:00,FMST@Mon13:58:00,1
48,FMST@Mon13:58:00,FF@Mon14:00:00,1
49,FF@Mon14:00:00,FF@Mon14:05:00,1
50,FF@Mon14:05:00,FGUR@Mon14:09:00,1
51,FGUR@Mon14:09:00,FNI@Mon14:11:00,1
52,FNI@Mon14:11:00,FGE@Mon14:24:00,1
53,FGE@Mon14:24:00,FLP@Mon14:36:00,1
54,FLP@Mon14:36:00,RM@Mon14:43:00,1
55,RM@Mon14:43:00,RM@Mon14:45:00,1
56,RM@Mon14:45:00,RP@Mon14:49:00,1
57,RP@Mon14:49:00,RSAB@Mon14:57:00,1
58,RSAB@Mon14:57:00,RGN@Mon14:59:00,1
59,RGN@Mon14:59:00,RK@Mon15:08:00,1
60,RK@Mon15:08:00,RK@Mon15:10:00,1
61,RK@Mon15:10:00,RDRM@Mon15:16:00,1
62,RDRM@Mon15:16:00,sink_1,1
63,source_2,HH@Mon11:26:00,2
64,HH@Mon11:26:00,HWU@Mon11:32:00,2
65,HWU@Mon11:32:00,HHML@Mon11:32:00,2
66,HHML@Mon11:32:00,HSOR@Mon11:39:00,2
67,HSOR@Mon11:39:00,HAL@Mon11:43:00,2
68,HAL@Mon11:43:00,HORX@Mon11:49:00,2
69,HORX@Mon11:49:00,HG@Mon12:00:00,2
70,HG@Mon12:00:00,HG@Mon12:01:00,2
71,HG@Mon12:01:00,HG@Mon12:02:00,2
72,HG@Mon12:02:00,HG@Mon12:03:00,2
73,HG@Mon12:03:00,HORX@Mon12:15:00,2
74,HORX@Mon12:15:00,HAL@Mon12:21:00,2
75,HAL@Mon12:21:00,HSOR@Mon12:25:00,2
76,HSOR@Mon12:25:00,HHI@Mon12:32:00,2
77,HHI@Mon12:32:00,HHI@Mon12:34:00,2
78,HHI@Mon12:34:00,HGGL@Mon12:52:00,2
79,HGGL@Mon12:52:00,HBS@Mon12:57:00,2
80,HBS@Mon12:57:00,HBS@Mon12:58:00,2
81,HBS@Mon12:58:00,HGGL@Mon13:03:00,2
82,HGGL@Mon13:03:00,HHI@Mon13:23:00,2
83,HHI@Mon13:23:00,HHI@Mon13:25:00,2
84,HHI@Mon13:25:00,HSOR@Mon13:32:00,2
85,HSOR@Mon13:32:00,HAL@Mon13:37:00,2
86,HAL@Mon13:37:00,HORX@Mon13:42:00,2
87,HORX@Mon13:42:00,HG@Mon13:53:00,2
88,HG@Mon13:53:00,HG@Mon13:54:00,2
89,HG@Mon13:54:00,HG@Mon13:55:00,2
90,HG@Mon13:55:00,HJD@Mon14:02:00,2
91,HJD@Mon14:02:00,FKW@Mon14:14:00,2
92,FKW@Mon14:14:00,FKW@Mon14:16:00,2
93,FKW@Mon14:16:00,FKHM@Mon14:33:00,2
94,FKHM@Mon14:33:00,FFU@Mon14:45:00,2
95,FFU@Mon14:45:00,FFU@Mon14:47:00,2
96,FFU@Mon14:47:00,FFD@Mon14:57:00,2
97,FFD@Mon14:57:00,FFD@Mon14:59:00,2
98,FFD@Mon14:59:00,FFU@Mon15:09:00,2
99,FFU@Mon15:09:00,FFU@Mon15:11:00,2
100,FFU@Mon15:11:00,FKHM@Mon15:25:00,2
101,FKHM@Mon15:25:00,FKW@Mon15:41:00,2
102,FKW@Mon15:41:00,FKW@Mon15:43:00,2
103,FKW@Mon15:43:00,HJD@Mon15:57:00,2
104,HJD@Mon15:57:00,HG@Mon16:01:00,2
105,HG@Mon16:01:00,HG@Mon16:02:00,2
106,HG@Mon16:02:00,HJD@Mon16:09:00,2
107,HJD@Mon16:09:00,FKW@Mon16:21:00,2
108,FKW@Mon16:21:00,FKW@Mon16:22:00,2
109,FKW@Mon16:22:00,HJD@Mon16:36:00,2
110,HJD@Mon16:36:00,HG@Mon16:41:00,2
111,HG@Mon16:41:00,HG@Mon16:43:00,2
112,HG@Mon16:43:00,HORX@Mon16:56:00,2
113,HORX@Mon16:56:00,HAL@Mon17:01:00,2
114,HAL@Mon17:01:00,HSOR@Mon17:05:00,2
115,HSOR@Mon17:05:00,HHML@Mon17:12:00,2
116,HHML@Mon17:12:00,HWU@Mon17:12:00,2
117,HWU@Mon17:12:00,HH@Mon17:17:00,2
118,HH@Mon17:17:00,sink_2,2
119,source_3,FFU@Mon10:11:00,3
120,FFU@Mon10:11:00,FKHM@Mon10:25:00,3
121,FKHM@Mon10:25:00,FKW@Mon10:41:00,3
122,FKW@Mon10:41:00,FKW@Mon10:43:00,3
123,FKW@Mon10:43:00,HJD@Mon10:57:00,3
124,HJD@Mon10:57:00,HJD@Mon11:02:00,3
125,HJD@Mon11:02:00,FKW@Mon11:14:00,3
126,FKW@Mon11:14:00,FKW@Mon11:16:00,3
127,FKW@Mon11:16:00,FKHM@Mon11:33:00,3
128,FKHM@Mon11:33:00,FFU@Mon11:45:00,3
129,FFU@Mon11:45:00,FFU@Mon11:47:00,3
130,FFU@Mon11:47:00,FFD@Mon11:57:00,3
131,FFD@Mon11:57:00,FSA@Mon12:06:00,3
132,FSA@Mon12:06:00,FHME@Mon12:19:00,3
133,FHME@Mon12:19:00,FWFG@Mon12:25:00,3
134,FWFG@Mon12:25:00,FHN@Mon12:27:00,3
135,FHN@Mon12:27:00,FHN@Mon12:29:00,3
136,FHN@Mon12:29:00,FWFG@Mon12:31:00,3
137,FWFG@Mon12:31:00,FHME@Mon12:38:00,3
138,FHME@Mon12:38:00,FSA@Mon12:50:00,3
139,FSA@Mon12:50:00,FFD@Mon12:59:00,3
140,FFD@Mon12:59:00,FFU@Mon13:09:00,3
141,FFU@Mon13:09:00,FFU@Mon13:11:00,3
142,FFU@Mon13:11:00,FKHM@Mon13:25:00,3
143,FKHM@Mon13:25:00,FKW@Mon13:41:00,3
144,FKW@Mon13:41:00,FKW@Mon13:43:00,3
145,FKW@Mon13:43:00,HJD@Mon13:57:00,3
146,HJD@Mon13:57:00,HG@Mon14:01:00,3
147,HG@Mon14:01:00,HG@Mon14:02:00,3
148,HG@Mon14:02:00,HG@Mon14:03:00,3
149,HG@Mon14:03:00,HORX@Mon14:15:00,3
150,HORX@Mon14:15:00,HAL@Mon14:21:00,3
151,HAL@Mon14:21:00,HSOR@Mon14:25:00,3
152,HSOR@Mon14:25:00,HHI@Mon14:32:00,3
153,HHI@Mon14:32:00,HHI@Mon14:34:00,3
154,HHI@Mon14:34:00,HGGL@Mon14:52:00,3
155,HGGL@Mon14:52:00,HBS@Mon14:57:00,3
156,HBS@Mon14:57:00,HBS@Mon14:58:00,3
157,HBS@Mon14:58:00,HGGL@Mon15:03:00,3
158,HGGL@Mon15:03:00,HHI@Mon15:23:00,3
159,HHI@Mon15:23:00,HHI@Mon15:25:00,3
160,HHI@Mon15:25:00,HSOR@Mon15:32:00,3
161,HSOR@Mon15:32:00,HAL@Mon15:37:00,3
162,HAL@Mon15:37:00,HORX@Mon15:42:00,3
163,HORX@Mon15:42:00,HG@Mon15:53:00,3
164,HG@Mon15:53:00,HG@Mon15:54:00,3
165,HG@Mon15:54:00,HG@Mon15:55:00,3
166,HG@Mon15:55:00,HJD@Mon16:02:00,3
167,HJD@Mon16:02:00,FKW@Mon16:14:00,3
168,FKW@Mon16:14:00,FKW@Mon16:16:00,3
169,FKW@Mon16:16:00,FKHM@Mon16:33:00,3
170,FKHM@Mon16:33:00,FFU@Mon16:45:00,3
171,FFU@Mon16:45:00,FFU@Mon16:47:00,3
172,FFU@Mon16:47:00,FFD@Mon16:57:00,3
173,FFD@Mon16:57:00,FSA@Mon17:06:00,3
174,FSA@Mon17:06:00,FHME@Mon17:19:00,3
175,FHME@Mon17:19:00,FWFG@Mon17:25:00,3
176,FWFG@Mon17:25:00,FHN@Mon17:27:00,3
177,FHN@Mon17:27:00,FHN@Mon17:29:00,3
178,FHN@Mon17:29:00,FWFG@Mon17:31:00,3
179,FWFG@Mon17:31:00,FHME@Mon17:38:00,3
180,FHME@Mon17:38:00,FSA@Mon17:50:00,3
181,FSA@Mon17:50:00,FFD@Mon17:59:00,3
182,FFD@Mon17:59:00,FFU@Mon18:09:00,3
183,FFU@Mon18:09:00,sink_3,3
184,source_4,HB@Mon13:15:00,4
185,HB@Mon13:15:00,HB@Mon13:18:00,4
186,HB@Mon13:18:00,AROG@Mon13:36:00,4
