<<<<<<< HEAD
Inspector_ID,Depot,Max_Hours
0,XSB,7
1,XSB,7
2,XSB,5
3,RB,5
4,RB,7
5,RB,5
6,RB,3
7,RK,4
8,RK,4
9,RK,3
10,RK,6
11,RK,3
12,RK,4
13,RK,7
14,RM,7
15,RM,6
16,RM,3
17,RM,5
18,RM,6
19,RM,7
20,RM,4
21,RM,7
22,FF,4
23,FF,4
24,FF,4
25,FFU,6
26,FFU,5
27,FFU,7
28,FFU,6
29,FFU,4
30,FFU,3
31,FFU,4
32,FKW,3
33,HH,3
34,HH,3
35,HH,7
36,HH,3
37,HH,6
38,HH,4
39,HH,7
40,HH,7
41,HH,4
42,AH,3
43,AH,5
44,AH,7
45,AH,6
46,AH,4
47,AH,7
48,AH,5
49,AH,3
50,AA,5
51,AA,5
52,AA,4
53,AA,3
54,AA,5
55,AK,7
56,AK,3
57,AK,4
58,BL,6
59,BL,7
60,BL,6
61,BLS,7
62,BLS,3
63,BLS,7
64,BHF,6
65,BHF,5
66,BHF,6
67,HB,3
68,HB,7
69,HB,6
70,HB,6
71,HB,5
72,EDO,3
73,EDO,5
74,EDO,7
75,EDO,3
76,EDO,4
77,EDO,4
78,EDO,6
79,EDO,7
80,EDO,5
81,KK,6
82,FMZ,6
83,FMZ,6
84,FMZ,7
85,FMZ,4
86,FMZ,7
87,FMZ,6
88,TS,7
89,NN,4
90,MH,5
91,MH,3
92,MH,3
93,MH,3
94,MH,4
95,MH,6
96,LL,4
97,LL,5
98,LL,6
99,LL,7
100,LL,6
101,LL,6
102,LL,5
103,FW,7
104,FW,7
105,FW,3
106,FW,4
107,FW,4
108,FW,3
109,HOLD,6
110,HOLD,3
111,HOLD,7
112,HOLD,3
113,MDT,5
114,MDT,3
115,MDT,3
116,MDT,3
117,MDT,3
118,MDT,7
119,MDT,4
120,MDT,3
121,MDT,4
=======
,Inspector_ID,Depot,Max_Hours
0,0,BHF,5
1,1,BHF,6
2,2,BHF,8
3,3,BHF,5
4,4,BHF,5
5,5,BHF,8
6,6,BHF,8
7,7,BHF,7
8,8,BHF,8
9,9,BHF,8
10,10,BHF,8
11,11,BHF,8
12,12,BHF,6
13,13,BHF,7
14,14,BHF,6
15,15,BHF,7
16,16,BHF,5
17,17,BHF,8
18,18,BHF,5
19,19,BHF,7
20,20,BHF,7
21,21,BHF,6
22,22,UE  P,7
23,23,UE  P,5
24,24,TS,7
25,25,TS,7
26,26,TS,6
27,27,TS,8
28,28,TS,8
29,29,TS,5
30,30,TS,7
31,31,TS,6
32,32,TS,6
33,33,TS,5
34,34,TS,5
35,35,TS,5
36,36,TS,6
37,37,TS,8
38,38,TS,8
39,39,TS,8
40,40,TS,7
41,41,TS,6
42,42,TS,8
43,43,TS,5
44,44,TS,7
45,45,TS,8
46,46,TS,7
47,47,TS,8
48,48,TS,8
49,49,TS,8
50,50,TS,6
>>>>>>> f1589ea386c75e431b339cb364009cd48ba25c79
