Verkaufsstellennr.;Name 1;Name 2;Name 3;Strasse;PLZ;Ort;Adresszusatz;Typ;Öffnungszeiten Montag 1;Öffnungszeiten Montag 2;Öffnungszeiten Montag 3;Öffnungszeiten Dienstag 1;Öffnungszeiten Dienstag 2;Öffnungszeiten Dienstag 3;Öffnungszeiten Mittwoch 1;Öffnungszeiten Mittwoch 2;Öffnungszeiten Mittwoch 3;Öffnungszeiten Donnerstag 1;Öffnungszeiten Donnerstag 2;Öffnungszeiten Donnerstag 3;Öffnungszeiten Freitag 1;Öffnungszeiten Freitag 2;Öffnungszeiten Freitag 3;Öffnungszeiten Samstag 1;Öffnungszeiten Samstag 2;Öffnungszeiten Samstag 3;Öffnungszeiten Sonntag 1;Öffnungszeiten Sonntag 2;Öffnungszeiten Sonntag 3;Koord_Lat;Koord_Lon
510263;Reisezentrum Achim;;;Bahnhofsvorplatz 1;28832;Achim;;Reisezentrum;09:00-12:30;13:30-17:00;;09:00-12:30;13:30-17:00;;09:00-12:30;13:30-17:00;;09:00-12:30;13:30-17:00;;09:00-12:30;13:30-17:00;;;;;;;;53015766;9030536
500231;Reisezentrum Ahrensburg;;;Bahnhof 11;22926;Ahrensburg;;Reisezentrum;08:15-12:15;13:00-17:30;;08:15-12:15;13:00-17:30;;08:15-12:15;13:00-17:30;;08:15-12:15;13:00-17:30;;08:15-12:15;13:00-17:30;;08:15-13:45;;;;;;53669223;10234857
500256;Reisezentrum Bad Oldesloe;;;Käthe-Kollwitz-Str. 8;23843;Bad Oldesloe;;Reisezentrum;08:00-18:00;;;08:00-12:30;13:15-18:00;;08:00-18:00;;;08:00-12:30;13:15-18:00;;08:00-18:00;;;08:30-14:00;;;;;;53805400;10382500
500744;Reisezentrum Bad Pyrmont;;;Lügder Str. 17;31812;Bad Pyrmont;;Reisezentrum;08:30-12:00;12:30-16:00;;08:30-12:00;12:30-16:00;;08:30-12:00;12:30-16:00;;08:30-12:00;12:30-16:00;;08:30-12:00;12:30-16:00;;;;;;;;51975116;9272714
500140;Reisezentrum Braunschweig;;;Willy-Brandt-Platz 1;38102;Braunschweig;;Reisezentrum;06:00-20:00;;;06:00-20:00;;;06:00-20:00;;;06:00-20:00;;;06:00-20:00;;;08:00-18:00;;;08:00-18:00;;;52252047;10538126
500215;Reisezentrum Bremen Hbf;;;Bahnhofsplatz 15;28195;Bremen;;Reisezentrum;06:30-21:00;;;06:30-21:00;;;06:30-21:00;;;06:30-21:00;;;06:30-21:00;;;07:30-21:00;;;07:30-21:00;;;53082857;8810489
500199;Reisezentrum Bremen-Vegesack;;;Vegesacker Bahnhofsplatz;28757;Bremen;;Reisezentrum;08:30-12:30;13:30-18:00;;08:30-12:30;13:30-18:00;;08:30-12:30;13:30-18:00;;08:30-12:30;13:30-18:00;;08:30-12:30;13:30-18:00;;09:00-13:30;;;;;;53170264;8629675
500181;Reisezentrum Bremerhaven Hbf;;;Friedrich-Ebert-Str. 73;27570;Bremerhaven;;Reisezentrum;07:45-19:00;;;07:45-19:00;;;07:45-19:00;;;07:45-19:00;;;07:45-19:00;;;07:45-16:00;;;09:45-15:15;;;53534907;8598514
507079;Reisezentrum Büchen;;;Quellental 17;21514;Büchen;;Reisezentrum;08:00-12:15;12:45-16:50;;08:00-12:15;12:45-15:50;;08:00-12:15;12:45-15:50;;08:00-12:15;12:45-16:50;;08:00-12:15;12:45-15:50;;;;;;;;53473396;10624575
500751;Reisezentrum Bückeburg;;;Am Bahnhof 7;31675;Bückeburg;;Reisezentrum;08:30-13:00;14:00-18:30;;08:30-13:00;14:00-18:30;;08:30-13:00;14:00-18:30;;08:30-13:00;14:00-18:30;;08:30-13:00;14:00-18:30;;08:30-13:00;;;;;;52267293;9047939
500603;Reisezentrum Buxtehude;;;Am Bundesbahnhof 1;21614;Buxtehude;;Reisezentrum;08:00-12:00;13:00-18:00;;08:00-12:00;13:00-18:00;;08:00-12:00;13:00-18:00;;08:00-12:00;13:00-18:00;;08:00-12:00;13:00-18:00;;08:30-13:30;;;;;;53470975;9686119
500066;Reisezentrum Celle;;;Bahnhofplatz 6;29221;Celle;;Reisezentrum;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;08:00-13:30;;;10:30-16:00;;;52621288;10063639
500447;Reisezentrum Cuxhaven;;;Am Bahnhof 1;27472;Cuxhaven;;Reisezentrum;08:00-12:00;13:00-18:00;;08:00-12:00;13:00-18:00;;08:00-12:00;13:00-18:00;;08:00-12:00;13:00-18:00;;08:00-12:00;13:00-18:00;;08:30-13:30;;;;;;53861296;8704632
500454;Reisezentrum Delmenhorst;;;Wittekindstraße 10;27749;Delmenhorst;;Reisezentrum;07:45-12:45;13:45-18:00;;07:45-12:45;13:45-18:00;;07:45-12:45;13:45-18:00;;07:45-12:45;13:45-18:00;;07:45-12:45;13:45-18:00;;08:30-13:00;;;;;;53053193;8630965
500462;Reisezentrum Diepholz;;;Am Bahnhof 1;49356;Diepholz;;Reisezentrum;09:00-12:30;13:30-17:00;;09:00-12:30;13:30-17:00;;09:00-12:30;13:30-17:00;;09:00-12:30;13:30-17:00;;09:00-12:30;13:30-17:00;;;;;;;;52604991;8379816
500090;Reisezentrum Eckernförde;;;Reeperbahn 54-58;24340;Eckernförde;;Reisezentrum;08:30-13:00;13:45-18:00;;08:30-13:00;13:45-18:00;;08:30-13:00;13:45-18:00;;08:30-13:00;13:45-18:00;;08:30-13:00;13:45-18:00;;08:30-12:00;12:30-15:15;;;;;54467627;9836050
500264;Reisezentrum Elmshorn;;;Holstenplatz;25335;Elmshorn;;Reisezentrum;06:15-18:45;;;06:15-18:45;;;06:15-18:45;;;06:15-18:45;;;06:15-18:45;;;08:00-13:00;;;;;;53755439;9658190
500421;Reisezentrum Emden Hbf;;;Bahnhofplatz 11;26721;Emden;;Reisezentrum;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-13:00;;;;;;53368787;7195720
500272;Reisezentrum Eutin;;;Bahnhofstr. 23-25;23701;Eutin;;Reisezentrum;07:00-12:30;13:30-17:30;;07:00-12:30;13:30-17:30;;07:00-12:30;13:30-17:30;;07:00-12:30;13:30-17:30;;07:00-12:30;13:30-17:30;;07:00-12:30;;;;;;54137049;10609015
500157;Reisezentrum Flensburg;;;Am Bundesbahnhof 1;24937;Flensburg;;Reisezentrum;06:00-19:00;;;06:00-19:00;;;06:00-19:00;;;06:00-19:00;;;06:00-19:00;;;07:30-12:15;12:45-15:30;;07:30-12:15;12:45-15:30;;54774402;9437927
500710;Reisezentrum Goslar;;;Hildesheimer Str. 53;38640;Goslar;;Reisezentrum;07:45-12:30;13:30-17:45;;07:45-12:30;13:30-17:45;;07:45-12:30;13:30-17:45;;07:45-12:30;13:30-17:45;;07:45-12:30;13:30-17:45;;09:00-14:00;;;;;;51911994;10422551
500017;Reisezentrum Göttingen;;;Bahnhofplatz 1;37073;Göttingen;;Reisezentrum;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;09:00-17:00;;;10:00-17:00;;;51536650;9927255
500116;Reisezentrum Hamburg Dammtor;;;Theodor-Heuss-Platz;20354;Hamburg;;Reisezentrum;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;07:00-20:00;;;08:00-20:00;;;53560800;9989680
500173;Reisezentrum Hamburg Hbf;;;Hachmannplatz 10;20099;Hamburg;;Reisezentrum;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;08:00-20:15;;;08:00-20:15;;;53553722;10008010
500132;Reisezentrum Hamburg-Altona;;;Paul-Nevermann-Platz 15;22765;Hamburg;;Reisezentrum;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;07:00-20:00;;;08:00-20:00;;;53552295;9934459
500108;Reisezentrum Hamburg-Bergedorf;;;Weidenbaumsweg 14;21029;Hamburg;;Reisezentrum;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;;;;;;;53489151;10206024
500124;Reisezentrum Hamburg-Harburg;;;Hannoversche Str. 85;21079;Hamburg;;Reisezentrum;07:40-18:30;;;07:40-18:30;;;07:40-18:30;;;07:40-18:30;;;07:40-18:30;;;08:00-13:30;;;09:00-14:30;;;53456008;9990332
500819;Reisezentrum Hameln;;;Bahnhofplatz 21;31785;Hameln;;Reisezentrum;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;07:00-18:00;;;08:30-14:00;;;10:00-15:30;;;52101100;9373978
