DS100, Name, Inhabitants
MIH,Ingolstadt Hbf,136981
EOB,Oberhausen Hbf,
BL,Berlin Lehrter Bf,3644826
WL,Ludwigslust,12223
WW,Wittenberge #,17015
HBS,Braunschweig Hbf,248292
RM,Mannheim Hbf,309370
EMLR,Mülheim (Ruhr )Hbf,
ALBG,Lüneburg,75351
EHG,Hagen Hbf,188814
EHM,Hamm (Westf),
FFU,Fulda,68586
MMU,Murnau,
MTZ,Tutzing,
KAND,Andernach,
HV,Verden (Aller),
HU,Uelzen Pbf,33614
HH,Hannover Hbf,538068
HM,Minden (Westf),
HB,Bremen Hbf,569352
KSO,Solingen-Ohligs,159360
MWH,Weilheim (Oberbay),
HG,Göttingen,110801
HD,Delmenhorst,
NWH,Würzburg Hbf,127880
EBILP,Bielefeld Hbf Pbf,
EE,Essen Hbf,
EG,Gelsenkirchen Hbf,
MHUG,Huglfing,
BLS,Berlin Hauptbahnhof-Lehrter Bf (Stadtb),3644826
BMOA,Berlin-Moabit,3644826
MA,Augsburg Hbf,295135
MH,München Hbf,1471508
MOU,Oberau,
KKO,Koblenz Hbf,114024
MGP,Garmisch-Partenkirchen,
FH  N,Hanau Nordseite,96023
KFKB,Flughf Köln/Bonn,
KKB,Köln Bbf,1085664
BPAF,Berlin Südkreuz,3644826
BSPD,Berlin-Spandau,3644826
FF,Frankfurt (Main) Hbf,753056
KDN P,Düren Pbf,
MECH,Eschenlohe,
NN,Nürnberg Hbf,518365
KN  W,Nürnberg Hbf,518365
KDA,Düsseldorf Abstellbahnh,
KKDZ,Köln-Deutz,1085664
KKDT,Köln-Deutz (tief),1085664
HNBG,Nienburg (Weser),
BRGBT,Berlin-Rummelsburg (Triebzuganlage),3644826
ADF,Hamburg Dammtor,1841179
KKOM,Koblenz Mosel Gbf,
KB,Bonn Hbf,327258
KA,Aachen Hbf,
EDG,Duisburg Hbf,
KD,Düsseldorf Hbf,
KK,Köln Hbf,1085664
EDO,Dortmund Hbf,587010
KM,Mönchengladbach Hbf,
ALA,Hamburg-Langenfelde,1841179
KW,Wuppertal Hbf,354382
MDT,Donauwörth,20080
AHAR,Hamburg-Harburg,1841179
EGLO,Gütersloh Hbf,
MWI,Wilzhofen,
HWOB,Wolfsburg,124151
TU,Ulm Hbf,126329
MFCH,Farchant,
TS,Stuttgart Hbf,643830
LS,Stendal Pbf (#),39822
MP,München-Pasing,1471508
AA,Hamburg-Altona,1841179
AH,Hamburg Hbf,1841179
AK,Kiel Hbf,247548
AL,Lübeck Hbf,
AN,Neumünster,79487
MTL,Treuchtlingen,
KDFF,Düsseldorf Flughafen Fe,
HOLD,Oldenburg (Oldb) Hbf,168210
FKW,Kassel-Wilhelmshöhe,201585
EDGR,Duisburg-Großenbaum,
HHZ,Hannover-Hainholz,
EBO,Bochum Hbf,
BHF,Berlin Ostbahnhof,3644826
EHFD,Herford,
HHI,Hildesheim Hbf,101990
