from_station,departure_time,to_station,arrival_time,inspector_id
RM,12:06:00,FLP,12:13:00,5
FLP,12:13:00,FGE,12:24:00,5
FGE,12:24:00,FLP,12:36:00,5
FLP,12:36:00,RM,12:43:00,5
RM,12:43:00,RM,12:45:00,5
RM,12:45:00,RP,12:49:00,5
RP,12:49:00,RSAB,12:57:00,5
RSAB,12:57:00,RGN,12:59:00,5
RGN,12:59:00,RGN,13:00:00,5
RGN,13:00:00,RSAB,13:02:00,5
RSAB,13:02:00,RP,13:10:00,5
RP,13:10:00,RM,13:14:00,5
RM,13:14:00,RM,13:16:00,5
RM,13:16:00,FLP,13:24:00,5
FLP,13:24:00,FGE,13:34:00,5
FGE,13:34:00,FMST,13:51:00,5
FMST,13:51:00,FMST,13:52:00,5
FMST,13:52:00,FGE,14:08:00,5
FGE,14:08:00,FLP,14:19:00,5
FLP,14:19:00,FLP,14:36:00,5
FLP,14:36:00,RM,14:43:00,5
RM,14:43:00,RM,14:45:00,5
RM,14:45:00,RP,14:49:00,5
RP,14:49:00,RSAB,14:57:00,5
RSAB,14:57:00,RGN,14:59:00,5
RGN,14:59:00,RSAB,15:02:00,5
RSAB,15:02:00,RP,15:10:00,5
RP,15:10:00,RM,15:14:00,5
RM,15:14:00,RM,15:16:00,5
RM,15:16:00,FLP,15:24:00,5
FLP,15:24:00,FGE,15:34:00,5
FGE,15:34:00,FMST,15:51:00,5
FMST,15:51:00,FMST,15:52:00,5
FMST,15:52:00,FGE,16:08:00,5
FGE,16:08:00,FLP,16:19:00,5
FLP,16:19:00,RM,16:27:00,5
RM,16:27:00,sink,5,5
source,5,RM,12:06:00,5
