DS100, Name, Inhabitants
MIH,Ingolstadt Hbf,23
WE,Eberswalde Hbf,3
XAWIF,,13
WA,Angermünde,2
XAWIE,,14
BL,Berlin Lehrter Bf,85
NAH,Aschaffenburg Hbf,5
WL,Ludwigslust,10
TS,Stuttgart Hbf,4
WW,Wittenberge #,6
BGS,Berlin Gesundbrunnen,30
WR,Rostock Hbf,6
WP,Pasewalk,3
EPD,Paderborn Hbf,2
HBS,Braunschweig Hbf,3
ELPP,Lippstadt,2
EHM,Hamm (Westf),7
LBT,Bitterfeld,25
FBHF,Bad Hersfeld,18
DRKA,,21
RM,Mannheim Hbf,6
RN,Neustadt (Weinstr) Hbf,2
RH,Heidelberg Hbf,5
RK,Karlsruhe Hbf,4
UE  P,,30
WRB,Rostock-Bramow,1
XAP,St.Pölten Hbf,14
XAS,,4
UJP,Jena Paradies,51
WZS,Züssow #,2
ALBG,Lüneburg,1
XAI,Innsbruck Hbf,6
MRO,Rosenheim,2
XAL,Linz Hbf,14
MKBN,Kaltenbrunn (Oberbay),2
DZN,Zeithain Bogendreieck,1
NPL,Plattling,18
FFU,Fulda,40
LMDR,,1
FFS,Frankfurt (Main) Süd,16
FB,Bebra,2
KK,Köln Hbf,11
LLMO,Leipzig-Mockau,2
MTZ,Tutzing,1
NPA,Passau Hbf,18
HU,Uelzen Pbf,1
HH,Hannover Hbf,14
EMSTP,Münster (Westf) Pbf,3
HB,Bremen Hbf,4
SKL,Kaiserslautern Hbf,2
KSO,Solingen-Ohligs,3
MWH,Weilheim (Oberbay),2
HG,Göttingen,14
UGO,Gotha,23
LMAC,Machern (Sachs) Hp #,10
EBILP,Bielefeld Hbf Pbf,3
FNI,Frankfurt-Niederrad,1
WNT,Neustrelitz Hbf,6
NLF,Lichtenfels,29
HWAR,Warburg (Westf),2
LLB,Leipzig Bayer Bf,1
XAKN,Kufstein,2
NWH,Würzburg Hbf,22
RWS,Wiesloch-Walldorf,3
EE,Essen Hbf,11
EG,Gelsenkirchen Hbf,1
MHUG,Huglfing,2
BLS,Berlin Hauptbahnhof-Lehrter Bf (Stadtb),5
WGW,Greifswald,3
SSH,Saarbrücken Hbf,2
MKLA,Klais,2
SHO,Homburg (Saar) Hbf,2
MA,Augsburg Hbf,23
RWE,Weinheim (Bergstr),1
WWR,Waren (Müritz),6
FH  S,Hanau Südseite,14
UW,Weißenfels,2
MOP,München Ost Pbf,2
MH,München Hbf,54
MOU,Oberau,4
KKO,Koblenz Hbf,8
MXM,,4
MP,München-Pasing,23
UWM,Weimar #,24
WWM,Warnemünde,4
KFKB,Flughf Köln/Bonn,2
KKB,Köln Bbf,1
FW,Wiesbaden Hbf,11
BGFB,Berlin Greifswalder Str,3
BPAF,Berlin Südkreuz,83
BSPD,Berlin-Spandau,44
FFLF,Frankfurt Main Flughafe,35
FD,Darmstadt Hbf,8
FF,Frankfurt (Main) Hbf,44
NER,Erlangen,29
KKDZ,Köln-Deutz,1
MECH,Eschenlohe,2
UEI,Eisenach,29
NN,Nürnberg Hbf,76
MGZB,Günzburg,1
KDA,Düsseldorf Abstellbahnh,1
WPL,Prenzlau,3
NBA,Bamberg,47
MDT,Donauwörth,15
LLEL,Leipzig-Leutzsch,2
FRA,Raunheim,2
FMZ,Mainz Hbf,21
BRGBT,Berlin-Rummelsburg (Triebzuganlage),21
ADF,Hamburg Dammtor,46
ESOT,Soest,2
UNM,Naumburg (Saale) Hbf,57
MWKR,München-Westkreuz,2
KB,Bonn Hbf,10
EDG,Duisburg Hbf,11
KD,Düsseldorf Hbf,11
MMU,Murnau,4
MMW,Mittenwald #,4
EDO,Dortmund Hbf,13
ALA,Hamburg-Langenfelde,32
KW,Wuppertal Hbf,5
XAJB,Jenbach,2
AHAR,Hamburg-Harburg,8
EGLO,Gütersloh Hbf,1
FBH,Bensheim,4
DN,Dresden-Neustadt,21
EBO,Bochum Hbf,10
DH,Dresden Hbf,23
EDOB,Dortmund Bbf,6
ERE,Recklinghausen Hbf,1
WSR,Stralsund,3
US,Saalfeld (Saale),32
LLWP,,2
WAK,Anklam #,3
DR,Riesa,22
FHP,Heppenheim (Bergstr),1
HWOB,Wolfsburg,4
AE  F,??????,10
HA,Altenbeken #,2
XAWE,Wels Hbf,14
HO  O,Osnabrück Hbf Po,3
TV,Vaihingen (Enz),3
LL  T,,2
LL,Leipzig Hbf,77
TU,Ulm Hbf,1
XAWL,Wörgl,2
UO,Orlamünde #,10
LH,Halle (Saale) Hbf (#),24
LF  N,,1
LW,Lutherstadt Wittenberg,46
MGP,Garmisch-Partenkirchen,4
LS,Stendal Pbf (#),1
FH  N,Hanau Nordseite,11
AA,Hamburg-Altona,48
FWIR,Wirtheim,1
AH,Hamburg Hbf,52
BBKB,Berlin-Blankenburg,3
MTL,Treuchtlingen,6
FKW,Kassel-Wilhelmshöhe,17
NRH,Regensburg Hbf,18
EHG,Hagen Hbf,5
LGC,Großkorbetha #,5
XAWG,Wien Meidling,14
BHF,Berlin Ostbahnhof,5
KKDT,Köln-Deutz (tief),2
AA  G,Buchholz (Nordheide) Vorbahnhof,1
KDFF,Düsseldorf Flughafen Fe,5
HHI,Hildesheim Hbf,3
