DS100, Name, Inhabitants
MIH,Ingolstadt Hbf,136981
WE,Eberswalde Hbf,
XAWIF,Eberswalde Hbf,
WA,Angermünde,
XAWIE,Angermünde,
BL,Berlin Lehrter Bf,3644826
NAH,Aschaffenburg Hbf,70527
WL,Ludwigslust,12223
TS,Stuttgart Hbf,643830
WW,Wittenberge #,17015
BGS,Berlin Gesundbrunnen,3644826
WR,Rostock Hbf,
WP,Pasewalk,
EPD,Paderborn Hbf,
HBS,Braunschweig Hbf,248292
ELPP,Lippstadt,
EHM,Hamm (Westf),
LBT,Bitterfeld,39108
FBHF,Bad Hersfeld,29800
DRKA,Bad Hersfeld,29800
RM,Mannheim Hbf,309370
RN,Neustadt (Weinstr) Hbf,
RH,Heidelberg Hbf,160355
RK,Karlsruhe Hbf,294761
UE  P,Erfurt Pbf,212988
WRB,Rostock-Bramow,
XAP,St.Pölten Hbf,
XAS,St.Pölten Hbf,
UJP,Jena Paradies,111099
WZS,Züssow #,
ALBG,Lüneburg,75351
XAI,Innsbruck Hbf,
MRO,Rosenheim,
XAL,Linz Hbf,
MKBN,Kaltenbrunn (Oberbay),
DZN,Zeithain Bogendreieck,
NPL,Plattling,
FFU,Fulda,68586
LMDR,Fulda,68586
FFS,Frankfurt (Main) Süd,753056
FB,Bebra,
KK,Köln Hbf,1085664
LLMO,Leipzig-Mockau,587857
MTZ,Tutzing,
NPA,Passau Hbf,
HU,Uelzen Pbf,33614
HH,Hannover Hbf,538068
EMSTP,Münster (Westf) Pbf,314319
HB,Bremen Hbf,569352
SKL,Kaiserslautern Hbf,
KSO,Solingen-Ohligs,159360
MWH,Weilheim (Oberbay),
HG,Göttingen,110801
UGO,Gotha,
LMAC,Machern (Sachs) Hp #,
EBILP,Bielefeld Hbf Pbf,
FNI,Frankfurt-Niederrad,
WNT,Neustrelitz Hbf,
NLF,Lichtenfels,20133
HWAR,Warburg (Westf),
LLB,Leipzig Bayer Bf,
XAKN,Kufstein,
NWH,Würzburg Hbf,127880
RWS,Wiesloch-Walldorf,
EE,Essen Hbf,
EG,Gelsenkirchen Hbf,
MHUG,Huglfing,
BLS,Berlin Hauptbahnhof-Lehrter Bf (Stadtb),3644826
WGW,Greifswald,
SSH,Saarbrücken Hbf,
MKLA,Klais,
SHO,Homburg (Saar) Hbf,
MA,Augsburg Hbf,295135
RWE,Weinheim (Bergstr),
WWR,Waren (Müritz),
FH  S,Hanau Südseite,96023
UW,Weißenfels,
MOP,München Ost Pbf,1471508
MH,München Hbf,1471508
MOU,Oberau,
KKO,Koblenz Hbf,114024
MXM,Koblenz Hbf,114024
MP,München-Pasing,1471508
UWM,Weimar #,
WWM,Warnemünde,
KFKB,Flughf Köln/Bonn,
KKB,Köln Bbf,1085664
FW,Wiesbaden Hbf,278342
BGFB,Berlin Greifswalder Str,3644826
BPAF,Berlin Südkreuz,3644826
BSPD,Berlin-Spandau,3644826
FFLF,Frankfurt Main Flughafe,753056
FD,Darmstadt Hbf,159207
FF,Frankfurt (Main) Hbf,753056
NER,Erlangen,111962
KKDZ,Köln-Deutz,1085664
MECH,Eschenlohe,
UEI,Eisenach,42710
NN,Nürnberg Hbf,518365
MGZB,Günzburg,20707
KDA,Düsseldorf Abstellbahnh,
WPL,Prenzlau,
NBA,Bamberg,77592
MDT,Donauwörth,20080
LLEL,Leipzig-Leutzsch,
FRA,Raunheim,
FMZ,Mainz Hbf,217118
BRGBT,Berlin-Rummelsburg (Triebzuganlage),3644826
ADF,Hamburg Dammtor,1841179
ESOT,Soest,
UNM,Naumburg (Saale) Hbf,32755
MWKR,München-Westkreuz,
KB,Bonn Hbf,327258
EDG,Duisburg Hbf,
KD,Düsseldorf Hbf,
MMU,Murnau,
MMW,Mittenwald #,
EDO,Dortmund Hbf,587010
ALA,Hamburg-Langenfelde,1841179
KW,Wuppertal Hbf,354382
XAJB,Jenbach,
AHAR,Hamburg-Harburg,1841179
EGLO,Gütersloh Hbf,
FBH,Bensheim,
DN,Dresden-Neustadt,
EBO,Bochum Hbf,
DH,Dresden Hbf,
EDOB,Dortmund Bbf,587010
ERE,Recklinghausen Hbf,
WSR,Stralsund,
US,Saalfeld (Saale),24789
LLWP,Saalfeld (Saale),24789
WAK,Anklam #,
DR,Riesa,
FHP,Heppenheim (Bergstr),
HWOB,Wolfsburg,124151
AE  F,Hamburg-Eidelstedt Gbf (Ef),1841179
HA,Altenbeken #,
XAWE,Wels Hbf,
HO  O,Osnabrück Hbf Po,164748
TV,Vaihingen (Enz),29476
LL  T,Vaihingen (Enz),29476
LL,Leipzig Hbf,587857
TU,Ulm Hbf,126329
XAWL,Wörgl,
UO,Orlamünde #,1117
LH,Halle (Saale) Hbf (#),239173
LF  N,Halle (Saale) Hbf (#),239173
LW,Lutherstadt Wittenberg,46272
MGP,Garmisch-Partenkirchen,
LS,Stendal Pbf (#),39822
FH  N,Hanau Nordseite,96023
AA,Hamburg-Altona,1841179
FWIR,Wirtheim,
AH,Hamburg Hbf,1841179
BBKB,Berlin-Blankenburg,3644826
MTL,Treuchtlingen,
FKW,Kassel-Wilhelmshöhe,201585
NRH,Regensburg Hbf,
EHG,Hagen Hbf,188814
LGC,Großkorbetha #,
XAWG,Wien Meidling,
BHF,Berlin Ostbahnhof,3644826
KKDT,Köln-Deutz (tief),1085664
AA  G,Buchholz (Nordheide) Vorbahnhof,1841179
KDFF,Düsseldorf Flughafen Fe,
HHI,Hildesheim Hbf,101990
