from_station,departure_time,to_station,arrival_time,inspector_id
AHAR,12:12:00,AMD,12:15:00,2
AMD,12:15:00,ALBG,12:28:00,2
ALBG,12:28:00,HU,12:41:00,2
HU,12:41:00,HC,13:03:00,2
HC,13:03:00,HH,13:21:00,2
HH,13:21:00,HH,13:26:00,2
HH,13:26:00,HWU,13:32:00,2
HWU,13:32:00,HHML,13:32:00,2
HHML,13:32:00,HSOR,13:39:00,2
HSOR,13:39:00,HAL,13:43:00,2
HAL,13:43:00,HORX,13:49:00,2
HORX,13:49:00,HG,14:00:00,2
HG,14:00:00,HG,14:01:00,2
HG,14:01:00,HG,14:02:00,2
HG,14:02:00,HJD,14:09:00,2
HJD,14:09:00,FKW,14:21:00,2
FKW,14:21:00,FKW,14:22:00,2
FKW,14:22:00,HJD,14:36:00,2
HJD,14:36:00,HG,14:41:00,2
HG,14:41:00,HG,14:43:00,2
HG,14:43:00,HORX,14:56:00,2
HORX,14:56:00,HAL,15:01:00,2
HAL,15:01:00,HSOR,15:05:00,2
HSOR,15:05:00,HHML,15:12:00,2
HWU,15:12:00,HH,15:17:00,2
HHML,15:12:00,HWU,15:12:00,2
HH,15:17:00,HH,15:20:00,2
HH,15:20:00,HC,15:38:00,2
HC,15:38:00,HU,15:57:00,2
HU,15:57:00,ALBG,16:10:00,2
ALBG,16:10:00,AMD,16:25:00,2
AMD,16:25:00,AHAR,16:27:00,2
AHAR,16:27:00,sink,2,2
source,2,AHAR,12:12:00,2
